text,label
Best purchase ever #116,2
Wonderful product #117,2
Great value for money #118,2
Outstanding performance #119,2
I love this product #120,2
Amazing experience #121,2
Excellent quality #122,2
Highly recommended #123,2
Very satisfied #124,2
Fantastic service #125,2
Best purchase ever #126,2
Wonderful product #127,2
Great value for money #128,2
Outstanding performance #129,2
I love this product #130,2
Amazing experience #131,2
Excellent quality #132,2
Highly recommended #133,2
Very satisfied #134,2
Fantastic service #135,2
Best purchase ever #136,2
Wonderful product #137,2
Great value for money #138,2
Outstanding performance #139,2
I love this product #140,2
Amazing experience #141,2
Excellent quality #142,2
Highly recommended #143,2
Very satisfied #144,2
Fantastic service #145,2
Best purchase ever #146,2
Wonderful product #147,2
Great value for money #148,2
Outstanding performance #149,2
I love this product #150,2
Amazing experience #151,2
Excellent quality #152,2
Highly recommended #153,2
Very satisfied #154,2
Fantastic service #155,2
Best purchase ever #156,2
Wonderful product #157,2
Great value for money #158,2
Outstanding performance #159,2
I love this product #160,2
Amazing experience #161,2
Excellent quality #162,2
Highly recommended #163,2
Very satisfied #164,2
Fantastic service #165,2
Best purchase ever #166,2
Wonderful product #167,2
Great value for money #168,2
Outstanding performance #169,2
I love this product #170,2
Amazing experience #171,2
Excellent quality #172,2
Highly recommended #173,2
Very satisfied #174,2
Fantastic service #175,2
Best purchase ever #176,2
Wonderful product #177,2
Great value for money #178,2
Outstanding performance #179,2
I love this product #180,2
Amazing experience #181,2
Excellent quality #182,2
Highly recommended #183,2
Very satisfied #184,2
Fantastic service #185,2
Best purchase ever #186,2
Wonderful product #187,2
Great value for money #188,2
Outstanding performance #189,2
I love this product #190,2
Amazing experience #191,2
Excellent quality #192,2
Highly recommended #193,2
Very satisfied #194,2
Fantastic service #195,2
Best purchase ever #196,2
Wonderful product #197,2
Great value for money #198,2
Outstanding performance #199,2
I love this product #200,2
Amazing experience #201,2
Excellent quality #202,2
Highly recommended #203,2
Very satisfied #204,2
Fantastic service #205,2
Best purchase ever #206,2
Wonderful product #207,2
Great value for money #208,2
Outstanding performance #209,2
I love this product #210,2
Amazing experience #211,2
Excellent quality #212,2
Highly recommended #213,2
Very satisfied #214,2
Fantastic service #215,2
Best purchase ever #216,2
Wonderful product #217,2
Great value for money #218,2
Outstanding performance #219,2
I love this product #220,2
Amazing experience #221,2
Excellent quality #222,2
Highly recommended #223,2
Very satisfied #224,2
Fantastic service #225,2
Best purchase ever #226,2
Wonderful product #227,2
Great value for money #228,2
Outstanding performance #229,2
I love this product #230,2
Amazing experience #231,2
Excellent quality #232,2
Highly recommended #233,2
Very satisfied #234,2
Fantastic service #235,2
Best purchase ever #236,2
Wonderful product #237,2
Great value for money #238,2
Outstanding performance #239,2
I love this product #240,2
Amazing experience #241,2
Excellent quality #242,2
Highly recommended #243,2
Very satisfied #244,2
Fantastic service #245,2
Best purchase ever #246,2
Wonderful product #247,2
Great value for money #248,2
Outstanding performance #249,2
I love this product #250,2
Amazing experience #251,2
Excellent quality #252,2
Highly recommended #253,2
Very satisfied #254,2
Fantastic service #255,2
Best purchase ever #256,2
Wonderful product #257,2
Great value for money #258,2
Outstanding performance #259,2
I love this product #260,2
Amazing experience #261,2
Excellent quality #262,2
Highly recommended #263,2
Very satisfied #264,2
Fantastic service #265,2
Best purchase ever #266,2
Wonderful product #267,2
Great value for money #268,2
Outstanding performance #269,2
I love this product #270,2
Amazing experience #271,2
Excellent quality #272,2
Highly recommended #273,2
Very satisfied #274,2
Fantastic service #275,2
Best purchase ever #276,2
Wonderful product #277,2
Great value for money #278,2
Outstanding performance #279,2
I love this product #280,2
Amazing experience #281,2
Excellent quality #282,2
Highly recommended #283,2
Very satisfied #284,2
Fantastic service #285,2
Best purchase ever #286,2
Wonderful product #287,2
Great value for money #288,2
Outstanding performance #289,2
I love this product #290,2
Amazing experience #291,2
Excellent quality #292,2
Highly recommended #293,2
Very satisfied #294,2
Fantastic service #295,2
Best purchase ever #296,2
Wonderful product #297,2
Great value for money #298,2
Outstanding performance #299,2
It is okay #0,1
Average performance #1,1
Nothing special #2,1
The product arrived yesterday #3,1
It works as expected #4,1
Neither good nor bad #5,1
The package was delivered today #6,1
The design is standard #7,1
Performance is acceptable #8,1
It meets basic requirements #9,1
It is okay #10,1
Average performance #11,1
Nothing special #12,1
The product arrived yesterday #13,1
It works as expected #14,1
Neither good nor bad #15,1
The package was delivered today #16,1
The design is standard #17,1
Performance is acceptable #18,1
It meets basic requirements #19,1
It is okay #20,1
Average performance #21,1
Nothing special #22,1
The product arrived yesterday #23,1
It works as expected #24,1
Neither good nor bad #25,1
The package was delivered today #26,1
The design is standard #27,1
Performance is acceptable #28,1
It meets basic requirements #29,1
It is okay #30,1
Average performance #31,1
Nothing special #32,1
The product arrived yesterday #33,1
It works as expected #34,1
Neither good nor bad #35,1
The package was delivered today #36,1
The design is standard #37,1
Performance is acceptable #38,1
It meets basic requirements #39,1
It is okay #40,1
Average performance #41,1
Nothing special #42,1
The product arrived yesterday #43,1
It works as expected #44,1
Neither good nor bad #45,1
The package was delivered today #46,1
The design is standard #47,1
Performance is acceptable #48,1
It meets basic requirements #49,1
It is okay #50,1
Average performance #51,1
Nothing special #52,1
The product arrived yesterday #53,1
It works as expected #54,1
Neither good nor bad #55,1
The package was delivered today #56,1
The design is standard #57,1
Performance is acceptable #58,1
It meets basic requirements #59,1
It is okay #60,1
Average performance #61,1
Nothing special #62,1
The product arrived yesterday #63,1
It works as expected #64,1
Neither good nor bad #65,1
The package was delivered today #66,1
The design is standard #67,1
Performance is acceptable #68,1
It meets basic requirements #69,1
It is okay #70,1
Average performance #71,1
Nothing special #72,1
The product arrived yesterday #73,1
It works as expected #74,1
Neither good nor bad #75,1
The package was delivered today #76,1
The design is standard #77,1
Performance is acceptable #78,1
It meets basic requirements #79,1
It is okay #80,1
Average performance #81,1
Nothing special #82,1
The product arrived yesterday #83,1
It works as expected #84,1
Neither good nor bad #85,1
The package was delivered today #86,1
The design is standard #87,1
Performance is acceptable #88,1
It meets basic requirements #89,1
It is okay #90,1
Average performance #91,1
Nothing special #92,1
The product arrived yesterday #93,1
It works as expected #94,1
Neither good nor bad #95,1
The package was delivered today #96,1
The design is standard #97,1
Performance is acceptable #98,1
It meets basic requirements #99,1
It is okay #100,1
Average performance #101,1
Nothing special #102,1
The product arrived yesterday #103,1
It works as expected #104,1
Neither good nor bad #105,1
The package was delivered today #106,1
The design is standard #107,1
Performance is acceptable #108,1
It meets basic requirements #109,1
It is okay #110,1
Average performance #111,1
Nothing special #112,1
The product arrived yesterday #113,1
It works as expected #114,1
Neither good nor bad #115,1
The package was delivered today #116,1
The design is standard #117,1
Performance is acceptable #118,1
It meets basic requirements #119,1
It is okay #120,1
Average performance #121,1
Nothing special #122,1
The product arrived yesterday #123,1
It works as expected #124,1
Neither good nor bad #125,1
The package was delivered today #126,1
The design is standard #127,1
Performance is acceptable #128,1
It meets basic requirements #129,1
It is okay #130,1
Average performance #131,1
Nothing special #132,1
The product arrived yesterday #133,1
It works as expected #134,1
Neither good nor bad #135,1
The package was delivered today #136,1
The design is standard #137,1
Performance is acceptable #138,1
It meets basic requirements #139,1
It is okay #140,1
Average performance #141,1
Nothing special #142,1
The product arrived yesterday #143,1
It works as expected #144,1
Neither good nor bad #145,1
The package was delivered today #146,1
The design is standard #147,1
Performance is acceptable #148,1
It meets basic requirements #149,1
It is okay #150,1
Average performance #151,1
Nothing special #152,1
The product arrived yesterday #153,1
It works as expected #154,1
Neither good nor bad #155,1
The package was delivered today #156,1
The design is standard #157,1
Performance is acceptable #158,1
It meets basic requirements #159,1
It is okay #160,1
Average performance #161,1
Nothing special #162,1
The product arrived yesterday #163,1
It works as expected #164,1
Neither good nor bad #165,1
The package was delivered today #166,1
The design is standard #167,1
Performance is acceptable #168,1
It meets basic requirements #169,1
It is okay #170,1
Average performance #171,1
Nothing special #172,1
The product arrived yesterday #173,1
It works as expected #174,1
Neither good nor bad #175,1
The package was delivered today #176,1
The design is standard #177,1
Performance is acceptable #178,1
It meets basic requirements #179,1
It is okay #180,1
Average performance #181,1
Nothing special #182,1
The product arrived yesterday #183,1
It works as expected #184,1
Neither good nor bad #185,1
The package was delivered today #186,1
The design is standard #187,1
Performance is acceptable #188,1
It meets basic requirements #189,1
It is okay #190,1
Average performance #191,1
Nothing special #192,1
The product arrived yesterday #193,1
It works as expected #194,1
Neither good nor bad #195,1
The package was delivered today #196,1
The design is standard #197,1
Performance is acceptable #198,1
It meets basic requirements #199,1
It is okay #200,1
Average performance #201,1
Nothing special #202,1
The product arrived yesterday #203,1
It works as expected #204,1
Neither good nor bad #205,1
The package was delivered today #206,1
The design is standard #207,1
Performance is acceptable #208,1
It meets basic requirements #209,1
It is okay #210,1
Average performance #211,1
Nothing special #212,1
The product arrived yesterday #213,1
It works as expected #214,1
Neither good nor bad #215,1
The package was delivered today #216,1
The design is standard #217,1
Performance is acceptable #218,1
It meets basic requirements #219,1
It is okay #220,1
Average performance #221,1
Nothing special #222,1
The product arrived yesterday #223,1
It works as expected #224,1
Neither good nor bad #225,1
The package was delivered today #226,1
The design is standard #227,1
Performance is acceptable #228,1
It meets basic requirements #229,1
It is okay #230,1
Average performance #231,1
Nothing special #232,1
The product arrived yesterday #233,1
It works as expected #234,1
Neither good nor bad #235,1
The package was delivered today #236,1
The design is standard #237,1
Performance is acceptable #238,1
It meets basic requirements #239,1
It is okay #240,1
Average performance #241,1
Nothing special #242,1
The product arrived yesterday #243,1
It works as expected #244,1
Neither good nor bad #245,1
The package was delivered today #246,1
The design is standard #247,1
Performance is acceptable #248,1
It meets basic requirements #249,1
It is okay #250,1
Average performance #251,1
Nothing special #252,1
The product arrived yesterday #253,1
It works as expected #254,1
Neither good nor bad #255,1
The package was delivered today #256,1
The design is standard #257,1
Performance is acceptable #258,1
It meets basic requirements #259,1
It is okay #260,1
Average performance #261,1
Nothing special #262,1
The product arrived yesterday #263,1
It works as expected #264,1
Neither good nor bad #265,1
The package was delivered today #266,1
The design is standard #267,1
Performance is acceptable #268,1
It meets basic requirements #269,1
It is okay #270,1
Average performance #271,1
Nothing special #272,1
The product arrived yesterday #273,1
It works as expected #274,1
Neither good nor bad #275,1
The package was delivered today #276,1
The design is standard #277,1
Performance is acceptable #278,1
It meets basic requirements #279,1
It is okay #280,1
Average performance #281,1
Nothing special #282,1
The product arrived yesterday #283,1
It works as expected #284,1
Neither good nor bad #285,1
The package was delivered today #286,1
The design is standard #287,1
Performance is acceptable #288,1
It meets basic requirements #289,1
It is okay #290,1
Average performance #291,1
Nothing special #292,1
The product arrived yesterday #293,1
It works as expected #294,1
Neither good nor bad #295,1
The package was delivered today #296,1
The design is standard #297,1
Performance is acceptable #298,1
It meets basic requirements #299,1
Worst service ever #0,0
Bad product #1,0
Very disappointed #2,0
Poor quality #3,0
Terrible experience #4,0
Waste of money #5,0
Not recommended #6,0
The product stopped working #7,0
Customer support is awful #8,0
I regret buying this #9,0
Worst service ever #10,0
Bad product #11,0
Very disappointed #12,0
Poor quality #13,0
Terrible experience #14,0
Waste of money #15,0
Not recommended #16,0
The product stopped working #17,0
Customer support is awful #18,0
I regret buying this #19,0
Worst service ever #20,0
Bad product #21,0
Very disappointed #22,0
Poor quality #23,0
Terrible experience #24,0
Waste of money #25,0
Not recommended #26,0
The product stopped working #27,0
Customer support is awful #28,0
I regret buying this #29,0
Worst service ever #30,0
Bad product #31,0
Very disappointed #32,0
Poor quality #33,0
Terrible experience #34,0
Waste of money #35,0
Not recommended #36,0
The product stopped working #37,0
Customer support is awful #38,0
I regret buying this #39,0
Worst service ever #40,0
Bad product #41,0
Very disappointed #42,0
Poor quality #43,0
Terrible experience #44,0
Waste of money #45,0
Not recommended #46,0
The product stopped working #47,0
Customer support is awful #48,0
I regret buying this #49,0
Worst service ever #50,0
Bad product #51,0
Very disappointed #52,0
Poor quality #53,0
Terrible experience #54,0
Waste of money #55,0
Not recommended #56,0
The product stopped working #57,0
Customer support is awful #58,0
I regret buying this #59,0
Worst service ever #60,0
Bad product #61,0
Very disappointed #62,0
Poor quality #63,0
Terrible experience #64,0
Waste of money #65,0
Not recommended #66,0
The product stopped working #67,0
Customer support is awful #68,0
I regret buying this #69,0
Worst service ever #70,0
Bad product #71,0
Very disappointed #72,0
Poor quality #73,0
Terrible experience #74,0
Waste of money #75,0
Not recommended #76,0
The product stopped working #77,0
Customer support is awful #78,0
I regret buying this #79,0
Worst service ever #80,0
Bad product #81,0
Very disappointed #82,0
Poor quality #83,0
Terrible experience #84,0
Waste of money #85,0
Not recommended #86,0
The product stopped working #87,0
Customer support is awful #88,0
I regret buying this #89,0
Worst service ever #90,0
Bad product #91,0
Very disappointed #92,0
Poor quality #93,0
Terrible experience #94,0
Waste of money #95,0
Not recommended #96,0
The product stopped working #97,0
Customer support is awful #98,0
I regret buying this #99,0
Worst service ever #100,0
Bad product #101,0
Very disappointed #102,0
Poor quality #103,0
Terrible experience #104,0
Waste of money #105,0
Not recommended #106,0
The product stopped working #107,0
Customer support is awful #108,0
I regret buying this #109,0
Worst service ever #110,0
Bad product #111,0
Very disappointed #112,0
Poor quality #113,0
Terrible experience #114,0
Waste of money #115,0
Not recommended #116,0
The product stopped working #117,0
Customer support is awful #118,0
I regret buying this #119,0
Worst service ever #120,0
Bad product #121,0
Very disappointed #122,0
Poor quality #123,0
Terrible experience #124,0
Waste of money #125,0
Not recommended #126,0
The product stopped working #127,0
Customer support is awful #128,0
I regret buying this #129,0
Worst service ever #130,0
Bad product #131,0
Very disappointed #132,0
Poor quality #133,0
Terrible experience #134,0
Waste of money #135,0
Not recommended #136,0
The product stopped working #137,0
Customer support is awful #138,0
I regret buying this #139,0
Worst service ever #140,0
Bad product #141,0
Very disappointed #142,0
Poor quality #143,0
Terrible experience #144,0
Waste of money #145,0
Not recommended #146,0
The product stopped working #147,0
Customer support is awful #148,0
I regret buying this #149,0
Worst service ever #150,0
Bad product #151,0
Very disappointed #152,0
Poor quality #153,0
Terrible experience #154,0
Waste of money #155,0
Not recommended #156,0
The product stopped working #157,0
Customer support is awful #158,0
I regret buying this #159,0
Worst service ever #160,0
Bad product #161,0
Very disappointed #162,0
Poor quality #163,0
Terrible experience #164,0
Waste of money #165,0
Not recommended #166,0
The product stopped working #167,0
Customer support is awful #168,0
I regret buying this #169,0
Worst service ever #170,0
Bad product #171,0
Very disappointed #172,0
Poor quality #173,0
Terrible experience #174,0
Waste of money #175,0
Not recommended #176,0
The product stopped working #177,0
Customer support is awful #178,0
I regret buying this #179,0
Worst service ever #180,0
Bad product #181,0
Very disappointed #182,0
Poor quality #183,0
Terrible experience #184,0
Waste of money #185,0
Not recommended #186,0
The product stopped working #187,0
Customer support is awful #188,0
I regret buying this #189,0
Worst service ever #190,0
Bad product #191,0
Very disappointed #192,0
Poor quality #193,0
Terrible experience #194,0
Waste of money #195,0
Not recommended #196,0
The product stopped working #197,0
Customer support is awful #198,0
I regret buying this #199,0
Worst service ever #200,0
Bad product #201,0
Very disappointed #202,0
Poor quality #203,0
Terrible experience #204,0
Waste of money #205,0
Not recommended #206,0
The product stopped working #207,0
Customer support is awful #208,0
I regret buying this #209,0
Worst service ever #210,0
Bad product #211,0
Very disappointed #212,0
Poor quality #213,0
Terrible experience #214,0
Waste of money #215,0
Not recommended #216,0
The product stopped working #217,0
Customer support is awful #218,0
I regret buying this #219,0
Worst service ever #220,0
Bad product #221,0
Very disappointed #222,0
Poor quality #223,0
Terrible experience #224,0
Waste of money #225,0
Not recommended #226,0
The product stopped working #227,0
Customer support is awful #228,0
I regret buying this #229,0
Worst service ever #230,0
Bad product #231,0
Very disappointed #232,0
Poor quality #233,0
Terrible experience #234,0
Waste of money #235,0
Not recommended #236,0
The product stopped working #237,0
Customer support is awful #238,0
I regret buying this #239,0
Worst service ever #240,0
Bad product #241,0
Very disappointed #242,0
Poor quality #243,0
Terrible experience #244,0
Waste of money #245,0
Not recommended #246,0
The product stopped working #247,0
Customer support is awful #248,0
I regret buying this #249,0
Worst service ever #250,0
Bad product #251,0
Very disappointed #252,0
Poor quality #253,0
Terrible experience #254,0
Waste of money #255,0
Not recommended #256,0
The product stopped working #257,0
Customer support is awful #258,0
I regret buying this #259,0
Worst service ever #260,0
Bad product #261,0
Very disappointed #262,0
Poor quality #263,0
Terrible experience #264,0
Waste of money #265,0
Not recommended #266,0
The product stopped working #267,0
Customer support is awful #268,0
I regret buying this #269,0
Worst service ever #270,0
Bad product #271,0
Very disappointed #272,0
Poor quality #273,0
Terrible experience #274,0
Waste of money #275,0
Not recommended #276,0
The product stopped working #277,0
Customer support is awful #278,0
I regret buying this #279,0
Worst service ever #280,0
Bad product #281,0
Very disappointed #282,0
Poor quality #283,0
Terrible experience #284,0
Waste of money #285,0
Not recommended #286,0
The product stopped working #287,0
Customer support is awful #288,0
I regret buying this #289,0
Worst service ever #290,0
Bad product #291,0
Very disappointed #292,0
Poor quality #293,0
Terrible experience #294,0
Waste of money #295,0
Not recommended #296,0
The product stopped working #297,0
Customer support is awful #298,0
I regret buying this #299,0
